CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,Churn
1038 ,20 ,Male,London,Bronze,37 ,4783 ,Electronics,2023/11/5,Retired,1 
1039 ,28 ,Female,Boston,Bronze,15 ,662 ,Toys,2023/11/3,Artist,1 
1040 ,45 ,Other,London,Platinum,95 ,2489 ,Electronics,2023/8/24,Retired,0 
1041 ,23 ,Female,San Francisco,Bronze,47 ,2653 ,Home Goods,2023/3/5,Artist,0 
1042 ,44 ,Male,Sydney,Gold,83 ,604 ,Toys,2023/8/29,Doctor,1 
1043 ,21 ,Female,Berlin,Silver,18 ,535 ,Sports,2023/8/23,Salesperson,0 
1044 ,49 ,Male,San Francisco,Gold,71 ,2732 ,Electronics,2023/6/25,Retired,0 
1045 ,29 ,Female,San Francisco,Platinum,68 ,1178 ,Clothing,2023/8/13,Engineer,1 
1046 ,21 ,Female,Boston,Bronze,36 ,995 ,Clothing,2023/12/1,Retired,0 
1047 ,19 ,Male,San Francisco,Bronze,74 ,1034 ,Electronics,2023/4/25,Teacher,0 
1048 ,31 ,Other,London,Gold,13 ,2722 ,Home Goods,2023/8/30,Doctor,1 
1049 ,35 ,Other,Sydney,Silver,69 ,301 ,Books,2023/10/14,Engineer,0 
1050 ,26 ,Female,Sydney,Platinum,65 ,750 ,Home Goods,2023/2/20,Student,0 
1051 ,56 ,Female,London,Gold,37 ,938 ,Electronics,2023/7/23,Doctor,1 
1052 ,22 ,Female,Berlin,Bronze,55 ,1390 ,Clothing,2023/1/14,Retired,0 
1053 ,24 ,Female,London,Gold,83 ,2963 ,Electronics,2023/3/15,Engineer,1 
1054 ,30 ,Female,Sydney,Gold,62 ,281 ,Toys,2023/11/7,Retired,1 
1055 ,27 ,Male,London,Gold,59 ,1395 ,Home Goods,2023/8/11,Doctor,0 
1056 ,23 ,Female,Berlin,Gold,66 ,102 ,Books,2023/7/5,Teacher,1 
1057 ,33 ,Other,Boston,Gold,69 ,216 ,Books,2023/12/12,Salesperson,1 
1058 ,38 ,Other,Berlin,Platinum,85 ,425 ,Sports,2023/7/27,Artist,1 
1059 ,49 ,Other,San Francisco,Gold,92 ,136 ,Books,2023/5/13,Other,1 
1060 ,44 ,Female,Berlin,Silver,82 ,1193 ,Clothing,2023/9/9,Engineer,0 
1061 ,25 ,Female,San Francisco,Platinum,35 ,603 ,Clothing,2023/12/22,Student,0 
1062 ,61 ,Other,Berlin,Silver,5 ,547 ,Toys,2023/11/22,Teacher,0 
1063 ,20 ,Male,Berlin,Silver,39 ,924 ,Home Goods,2023/5/13,Engineer,0 
1064 ,50 ,Other,San Francisco,Gold,37 ,128 ,Books,2023/10/8,Salesperson,0 
1065 ,64 ,Female,London,Silver,88 ,124 ,Books,2023/2/22,Salesperson,1 
1066 ,29 ,Female,Berlin,Bronze,27 ,1802 ,Electronics,2023/7/9,Engineer,0 
1067 ,36 ,Male,London,Platinum,21 ,2743 ,Electronics,2023/10/20,Salesperson,0 
1068 ,62 ,Other,Boston,Bronze,12 ,3758 ,Electronics,2023/9/29,Retired,1 
1069 ,18 ,Male,London,Bronze,69 ,996 ,Toys,2023/10/6,Artist,1 
1070 ,55 ,Other,Berlin,Bronze,40 ,1872 ,Clothing,2023/11/16,Engineer,0 
1071 ,65 ,Female,London,Bronze,95 ,221 ,Toys,2023/4/16,Engineer,1 
1072 ,27 ,Female,San Francisco,Platinum,57 ,429 ,Clothing,2023/3/16,Artist,0 
1073 ,44 ,Other,London,Gold,24 ,303 ,Books,2023/2/22,Artist,0 
1074 ,38 ,Other,Berlin,Bronze,52 ,303 ,Books,2023/1/12,Student,0 
1075 ,33 ,Other,Tokyo,Silver,70 ,2383 ,Home Goods,2023/12/20,Retired,0 
1076 ,19 ,Female,London,Gold,26 ,1276 ,Clothing,2023/7/6,Student,0 
1077 ,23 ,Male,Sydney,Silver,6 ,581 ,Toys,2023/12/11,Artist,0 
1078 ,20 ,Female,Boston,Platinum,5 ,180 ,Toys,2023/7/24,Teacher,1 
1079 ,43 ,Other,Tokyo,Bronze,7 ,235 ,Home Goods,2023/1/20,Other,1 
1080 ,46 ,Male,Tokyo,Platinum,84 ,1696 ,Home Goods,2023/5/13,Engineer,0 
1081 ,37 ,Other,San Francisco,Gold,2 ,355 ,Home Goods,2023/10/31,Doctor,1 
1082 ,61 ,Male,Tokyo,Platinum,82 ,467 ,Sports,2023/1/18,Retired,1 
1083 ,35 ,Female,Boston,Bronze,48 ,4519 ,Electronics,2023/9/24,Doctor,1 
1084 ,23 ,Female,Tokyo,Silver,25 ,329 ,Home Goods,2023/11/15,Salesperson,1 
1085 ,63 ,Other,Boston,Silver,2 ,253 ,Toys,2023/1/9,Doctor,0 
1086 ,33 ,Male,San Francisco,Bronze,67 ,85 ,Books,2023/7/20,Teacher,1 
1087 ,28 ,Other,Tokyo,Gold,22 ,402 ,Toys,2023/4/9,Engineer,1 
1088 ,47 ,Female,Sydney,Silver,72 ,1329 ,Clothing,2023/12/18,Engineer,1 
1089 ,35 ,Male,Berlin,Platinum,3 ,2713 ,Electronics,2023/5/3,Salesperson,1 
1090 ,35 ,Male,Berlin,Bronze,80 ,298 ,Toys,2023/6/24,Other,1 
1091 ,64 ,Female,Sydney,Bronze,55 ,395 ,Books,2023/5/15,Retired,1 
1092 ,25 ,Male,London,Gold,4 ,792 ,Sports,2023/12/8,Artist,0 
1093 ,35 ,Male,Tokyo,Platinum,23 ,1495 ,Clothing,2023/7/5,Engineer,1 
1094 ,68 ,Female,Sydney,Platinum,59 ,4041 ,Electronics,2023/11/18,Other,1 
1095 ,40 ,Male,London,Silver,29 ,2413 ,Home Goods,2023/3/12,Retired,0 
1096 ,18 ,Female,Tokyo,Gold,54 ,87 ,Books,2023/8/24,Teacher,1 
1097 ,25 ,Male,San Francisco,Bronze,58 ,613 ,Toys,2023/2/21,Doctor,1 
1098 ,47 ,Female,Sydney,Gold,35 ,2617 ,Electronics,2023/2/1,Teacher,1 
1099 ,46 ,Other,Tokyo,Platinum,64 ,253 ,Sports,2023/6/14,Retired,0 
1100 ,53 ,Male,Boston,Silver,85 ,593 ,Sports,2023/6/22,Other,1 
1101 ,61 ,Female,Tokyo,Platinum,15 ,2519 ,Home Goods,2023/6/5,Doctor,0 
1102 ,52 ,Female,Boston,Gold,14 ,1727 ,Clothing,2023/10/31,Engineer,1 
1103 ,58 ,Female,Sydney,Platinum,21 ,2215 ,Electronics,2023/1/4,Salesperson,1 
1104 ,23 ,Female,Boston,Platinum,19 ,1376 ,Clothing,2023/1/1,Other,1 
1105 ,68 ,Other,Tokyo,Gold,32 ,293 ,Toys,2023/3/20,Engineer,1 
1106 ,46 ,Female,Tokyo,Silver,25 ,2296 ,Home Goods,2023/11/11,Teacher,1 
1107 ,59 ,Other,Boston,Silver,65 ,88 ,Books,2023/10/23,Other,0 
1108 ,52 ,Female,Berlin,Platinum,4 ,311 ,Books,2023/12/20,Salesperson,1 
1109 ,52 ,Female,Berlin,Silver,81 ,2032 ,Home Goods,2023/3/16,Retired,0 
1110 ,37 ,Female,Sydney,Platinum,70 ,98 ,Toys,2023/6/16,Doctor,1 
1111 ,31 ,Female,London,Silver,5 ,1898 ,Clothing,2023/3/26,Retired,1 
1112 ,55 ,Male,San Francisco,Platinum,80 ,2816 ,Home Goods,2023/8/23,Artist,0 
1113 ,43 ,Male,London,Bronze,58 ,305 ,Books,2023/11/6,Doctor,1 
1114 ,22 ,Female,Berlin,Gold,2 ,3377 ,Electronics,2023/7/22,Artist,1 
1115 ,61 ,Male,Tokyo,Platinum,47 ,585 ,Home Goods,2023/5/8,Other,0 
1116 ,29 ,Female,Berlin,Gold,56 ,1540 ,Clothing,2023/11/11,Student,0 
1117 ,47 ,Male,Sydney,Platinum,13 ,251 ,Toys,2023/3/26,Doctor,1 
1118 ,30 ,Female,Tokyo,Platinum,41 ,690 ,Clothing,2023/2/24,Artist,1 
1119 ,43 ,Other,Berlin,Silver,88 ,438 ,Toys,2023/3/5,Student,0 
1120 ,50 ,Female,Berlin,Gold,42 ,177 ,Books,2023/1/23,Doctor,0 
1121 ,68 ,Other,London,Platinum,97 ,436 ,Toys,2023/11/6,Student,0 
1122 ,58 ,Male,London,Gold,59 ,4410 ,Electronics,2023/8/9,Teacher,1 
1123 ,69 ,Female,Boston,Platinum,40 ,868 ,Home Goods,2023/8/15,Retired,0 
1124 ,60 ,Other,London,Platinum,77 ,2683 ,Home Goods,2023/10/13,Student,1 
1125 ,41 ,Other,Tokyo,Bronze,56 ,1621 ,Home Goods,2023/5/26,Student,1 
