CustomerID,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,Churn
1,55,Male,Boston,Gold,22,190,Clothing,2023/5/24,Artist,1
2,,Male,Boston,Bronze,25,280,Books,2023/4/16,Doctor,0
3,30,Female,San Francisco,Gold,82,3872,Electronics,2023/12/22,Student,1
4,26,Male,London,Platinum,7,1327,Sports,2023/6/13,Engineer,0
5,27,Other,San Francisco,Gold,56,762,Toys,2023/8/6,Retired,1
6,29,Other,San Francisco,Silver,71,3893,Electronics,2023/5/21,Student,0
7,23,Other,San Francisco,Platinum,13,473,Home Goods,2023/8/28,Salesperson,0
8,33,Other,Sydney,Silver,59,2685,Home Goods,2023/1/29,Doctor,0
9,18,Male,San Francisco,Platinum,10,585,Toys,2023/7/1,Salesperson,1
10,34,Female,London,Bronze,66,167,Books,2023/8/17,Salesperson,1
11,19,Male,London,Bronze,3,495,Sports,2023/11/4,Artist,1
12,30,Female,Tokyo,Bronze,44,3382,Electronics,2023/2/21,Other,1
13,25,Female,Boston,Gold,5,829,Toys,2023/5/25,Salesperson,1
14,63,Other,Berlin,Silver,6,799,Sports,2023/12/6,Other,1
15,24,Female,Berlin,Silver,51,1505,Home Goods,2023/10/12,Artist,1
16,43,Male,Boston,Gold,54,1185,Sports,2023/7/27,Retired,0
17,68,Male,Tokyo,Gold,89,2120,Home Goods,2023/10/30,Salesperson,0
18,41,Female,Berlin,Bronze,90,200,Clothing,2023/12/1,Salesperson,0
19,41,Male,Boston,Silver,27,807,Toys,2023/10/23,Salesperson,0
20,59,Male,Sydney,Silver,96,1390,Electronics,2023/11/10,Artist,1
21,67,Other,Berlin,Platinum,12,468,Sports,2023/12/8,Retired,1
22,48,Male,Sydney,Bronze,43,2901,Home Goods,2023/10/27,Salesperson,1
23,50,Other,London,Bronze,16,77,Toys,2023/1/2,Student,1
24,40,Female,Berlin,Gold,75,338,Books,2023/9/13,Doctor,1
25,31,Male,Tokyo,Bronze,27,326,Books,2023/2/4,Retired,1
26,59,Male,London,Platinum,,4504,Electronics,2023/8/17,Artist,0
27,27,Female,Berlin,Platinum,52,854,Toys,2023/10/28,Retired,1
28,25,Other,London,Platinum,30,1072,Clothing,2023/7/10,Other,1
29,40,Male,Sydney,Silver,80,3910,Electronics,2023/8/26,Salesperson,0
30,19,Female,Tokyo,Bronze,73,176,Books,2023/11/17,Doctor,1
31,18,Other,Berlin,Gold,99,3032,Electronics,2023/2/21,Teacher,1
32,35,Male,San Francisco,Platinum,31,711,Toys,2023/3/23,Salesperson,1
33,26,Other,Sydney,Bronze,29,295,Sports,2023/7/17,Engineer,1
34,42,Other,Boston,Platinum,59,2665,Home Goods,2023/9/18,Retired,1
35,31,Female,Sydney,Silver,33,1994,Home Goods,2023/4/7,Other,0
36,69,Other,Berlin,Platinum,4,765,Home Goods,2023/11/14,Teacher,0
37,65,Other,Boston,Platinum,33,1065,Clothing,2023/5/17,Engineer,1
38,60,Other,San Francisco,Bronze,39,2755,Electronics,2023/5/14,Doctor,1
39,26,Female,San Francisco,Gold,28,4789,Electronics,2023/8/15,Teacher,1
40,48,Male,Berlin,Silver,68,101,Clothing,2023/3/10,Artist,0
41,25,Other,Sydney,Silver,30,1903,Clothing,2023/10/17,Retired,0
42,21,Male,London,Silver,58,2767,Home Goods,2023/11/18,Salesperson,1
43,24,Other,San Francisco,Gold,55,913,Clothing,2023/7/6,Artist,0
44,39,Other,San Francisco,Gold,67,1536,Home Goods,2023/1/19,Teacher,0
45,67,Other,London,Silver,56,861,Toys,2023/7/6,Salesperson,0
46,21,Male,London,Bronze,86,800,Home Goods,2023/4/3,Engineer,0
47,22,Male,San Francisco,Gold,52,708,Sports,2023/3/7,Engineer,1
48,42,Other,Sydney,Platinum,,446,Sports,2023/3/13,Retired,0
